-0.69	-0.96	-1.16	-0.66	-0.55	0.12	-1.07	-1.22	0.82	1.40	0.71	0.68	0.11	-0.04	0.19	0.82
-0.21	0.19	0.86	0.04	-0.35	-0.39	-0.51	-0.20	0.00	0.77	0.41	0.14	-0.45	-1.23	-0.33	0.00
-0.30	-0.56	-0.29	-0.50	-0.27	-0.29	-0.56	-1.04	0.32	0.90	0.45	0.17	0.16	-0.12	-0.16	0.67
0.07	0.26	-0.47	-0.68	-0.63	-0.39	0.07	0.79	0.58	0.31	-0.14	-0.29	-0.10	-0.20	-0.06	0.36
-1.04	0.13	0.51	-0.44	-0.88	-0.32	0.21	0.95	1.07	0.38	0.01	-0.13	-0.78	-0.13	0.09	0.00
-1.17	0.09	-0.52	-1.04	-1.16	-0.83	0.17	0.93	0.89	0.52	-0.24	-0.46	-0.21	0.20	0.91	0.68
-0.16	0.35	-0.13	-0.26	-0.40	-0.47	0.10	0.74	0.45	0.04	-0.30	-0.30	-0.12	-0.59	0.14	0.20
-0.89	0.77	-0.25	-0.71	-0.33	0.05	-0.15	-0.42	0.68	-0.06	0.17	-0.15	0.07	-0.05	-0.23	0.58
-0.18	0.14	-0.04	-0.76	-0.68	-0.53	-0.37	0.19	0.81	0.56	0.03	-0.26	-0.13	-0.41	0.09	0.45
-0.42	-0.57	0.08	-0.44	-0.36	-0.18	-0.15	0.56	0.63	0.48	-0.67	-0.45	0.10	-0.02	-0.05	0.60
-0.15	0.32	0.23	-0.76	-1.16	-0.90	-0.23	0.28	0.45	0.99	0.20	-0.28	-0.53	0.01	0.00	0.54
-1.18	-1.02	-1.74	-1.69	-0.82	-0.19	-0.31	0.72	0.76	1.43	0.44	0.00	0.27	0.22	0.47	1.16
-0.29	-0.86	-1.21	-0.86	-0.54	-0.51	-0.92	-0.34	0.78	1.35	0.46	0.23	0.06	-0.51	0.16	1.05
0.43	-0.38	-1.12	-0.92	-1.15	-1.19	-0.49	0.62	0.84	0.67	1.01	0.95	0.33	0.38	-0.21	-0.08
1.03	-0.40	-1.25	-0.80	-0.42	-0.94	-1.11	-0.49	-0.19	1.05	0.78	0.27	0.20	0.36	0.28	1.10
-0.39	-0.59	-0.54	-1.08	-0.63	0.12	-0.05	-0.80	-0.01	0.49	0.41	-0.06	0.10	0.12	0.50	1.09
-0.05	-0.65	-0.71	-0.28	-0.25	-0.37	0.00	0.06	0.17	0.50	0.00	0.08	-0.19	0.34	0.09	0.27
0.75	-0.54	-0.97	-0.61	-0.45	-0.08	-0.06	-0.09	-0.52	1.04	0.63	0.32	0.13	0.21	-0.03	-0.01
0.78	0.45	0.26	-0.22	-0.38	-0.32	-0.55	-0.24	0.63	0.90	-0.01	-0.24	-1.50	-0.40	-0.52	0.24
0.05	-0.61	-0.48	-0.86	-0.37	-0.20	-0.02	-0.45	0.01	0.29	0.24	0.04	0.17	0.14	0.70	0.75
0.32	0.32	0.11	-0.52	-1.32	-0.85	-0.36	-0.36	0.11	0.68	0.32	0.09	0.02	0.19	0.25	0.31
-0.17	-0.51	-0.70	-0.47	-0.07	-0.19	-0.12	-0.17	0.20	0.45	-0.07	0.00	0.16	0.30	0.24	0.66
-0.02	0.50	-0.25	-0.85	-0.93	-0.62	-1.02	-0.98	0.28	1.00	0.75	0.38	0.05	0.37	0.01	0.76
0.28	0.45	-1.18	-0.85	-0.33	0.03	-0.09	-0.27	0.24	0.50	0.31	0.35	-0.23	-0.01	0.19	0.00
-0.26	0.24	0.61	0.34	0.57	-0.09	-0.13	-0.34	-0.46	0.19	0.03	-0.42	-0.17	-0.29	-0.05	-0.14
1.48	1.43	0.98	0.49	-0.13	-0.55	-0.63	-0.21	-0.07	-0.41	-0.76	-1.03	-0.39	-0.63	-0.42	0.44
-0.93	-0.93	-0.60	-0.62	-0.40	-0.32	-0.63	-0.65	0.07	1.07	0.37	0.07	0.18	0.18	0.72	1.08
0.27	0.71	1.37	1.19	0.79	-0.15	-0.77	-1.15	-0.97	-0.05	-0.53	-0.66	-0.15	-0.18	-0.24	0.25
0.38	0.02	0.03	-0.09	0.16	-0.48	0.19	-0.10	-0.14	-0.13	0.11	0.19	-0.04	-0.02	-0.13	0.00
-0.65	-2.62	-2.18	-1.57	-1.31	-0.45	0.27	1.20	1.55	0.79	0.24	0.80	0.45	0.55	0.59	1.26
0.54	-0.73	-1.33	-1.02	-0.60	0.00	-0.58	-1.05	0.01	1.34	1.00	0.39	0.21	0.03	-0.22	0.71
-0.45	-0.10	1.04	0.44	0.07	0.27	0.17	-0.33	-0.37	0.41	0.17	0.04	-0.08	-0.24	-0.67	-0.76
-0.09	-1.03	-1.19	-0.75	-0.20	-0.67	-0.41	-0.13	0.48	0.87	0.54	0.41	0.16	0.26	0.24	0.54
-0.23	-0.80	-1.19	-0.47	-0.05	-0.20	-0.26	-0.49	0.39	0.50	0.45	0.19	0.20	0.16	0.60	0.62
0.36	-0.67	-1.36	-0.72	-0.47	-0.30	-0.83	-0.46	0.21	0.57	0.50	0.26	0.24	0.35	1.03	0.64
1.13	0.62	-0.07	-1.29	-1.89	-2.56	-1.01	0.69	1.03	1.12	0.44	-0.10	-0.93	-0.46	0.21	0.90
-0.31	-0.12	-0.15	-0.53	-0.15	-0.44	-0.85	-0.33	0.55	0.67	0.56	0.17	-0.20	-0.14	0.34	0.00
0.93	-0.28	-0.20	0.11	-0.33	-0.78	-0.85	0.17	0.92	0.73	0.48	0.33	-0.54	-0.39	-0.89	-0.63
-0.46	-1.19	-2.23	-1.76	-0.72	0.23	-0.63	-0.95	0.39	2.07	1.43	0.87	0.58	0.16	0.27	0.00
-0.72	-0.22	-1.09	-0.95	-0.34	-0.13	0.03	-0.26	-0.01	1.12	0.60	0.04	0.07	0.24	0.01	0.57
-0.60	-0.14	-0.20	-0.64	-0.59	0.02	0.07	-0.40	0.31	0.74	0.19	0.01	-0.23	0.11	0.15	0.29
-0.85	-1.42	-1.60	-0.79	-0.09	0.12	0.58	1.07	1.37	0.37	-0.08	-0.09	0.07	0.46	0.44	0.00
0.11	0.33	-0.36	-1.02	-0.38	-0.40	0.11	0.77	1.45	0.14	-0.36	-1.29	-0.55	-0.17	0.23	0.49
-0.26	0.33	-0.38	-0.13	0.00	-0.47	-0.39	0.19	0.51	0.29	-0.24	-0.58	-0.02	0.01	0.16	-0.16
-0.11	-0.53	-1.13	-0.65	-0.35	-0.87	0.27	0.53	1.33	0.13	-0.19	-0.25	0.20	0.06	0.27	0.67
-0.26	-0.75	-0.76	-0.44	-0.45	-0.20	-0.53	-0.72	-0.04	1.10	0.78	0.14	0.01	0.01	0.14	0.52
-0.57	-0.95	-1.83	-1.13	-0.36	0.08	-0.72	-0.99	0.50	1.65	0.93	0.44	0.23	-0.21	-0.23	0.94
-0.63	-0.88	0.06	-0.12	-0.36	0.02	-0.12	-0.08	0.05	0.85	0.41	0.20	0.03	-0.07	-0.35	0.24
