1.00	0.96	0.97	0.99	0.92	0.75	0.62	0.57	0.57	0.78	0.79	0.84
1.00	2.67	2.41	3.75	6.18	38.80	86.92	25.58	14.81	6.73	2.72	2.42
1.00	1.10	1.25	1.94	3.46	4.86	5.81	8.50	6.03	3.79	3.10	2.86
1.00	1.04	1.09	1.11	1.17	1.32	1.49	1.70	1.89	2.57	3.17	3.98
1.00	1.73	3.34	5.98	4.54	2.70	2.44	2.46	1.62	1.47	1.40	1.28
1.00	1.18	5.53	11.90	3.86	28.22	20.07	16.54	9.58	3.30	5.88	8.33
1.00	0.95	1.23	1.59	0.98	5.54	8.13	10.87	10.07	11.70	10.39	9.91
1.00	1.00	1.21	1.62	1.83	4.26	4.08	3.27	1.72	1.39	1.34	1.30
1.00	0.97	1.25	1.23	1.23	2.03	2.37	2.90	2.76	1.75	1.66	1.46
1.00	1.01	1.08	1.25	1.52	5.85	17.70	18.79	10.35	11.29	9.10	5.18
